timepoint,colony.id,frag.id,treatment,colormorph,sym.density,,,,,,,,,,,,,,,,,,,
07/07/17,O8,680,control,orange,6329233.0803,,,,,,,,,,,,,,,,,,,
07/07/17,O8,10,deep,orange,18872285.4760,,,,,,,,,,,,,,,,,,,
07/07/17,O8,163,shallow,orange,22142305.1774,,,,,,,,,,,,,,,,,,,
07/07/17,O8,58,shade,orange,23510785.6719,,,,,,,,,,,,,,,,,,,
07/07/17,O9,16,control,orange,9690723.8356,,,,,,,,,,,,,,,,,,,
07/07/17,O9,95,deep,orange,8327974.4050,,,,,,,,,,,,,,,,,,,
07/07/17,O9,281,shallow,orange,9046923.1831,,,,,,,,,,,,,,,,,,,
07/07/17,O9,53,shade,orange,7780005.9418,,,,,,,,,,,,,,,,,,,
07/07/17,O10,855,control,orange,6001226.2747,,,,,,,,,,,,,,,,,,,
07/07/17,O10,153,deep,orange,4342013.1382,,,,,,,,,,,,,,,,,,,
07/07/17,O10,136,shallow,orange,7049949.5613,,,,,,,,,,,,,,,,,,,
07/07/17,O10,287,shade,orange,3683307.7832,,,,,,,,,,,,,,,,,,,
07/07/17,O11,93,control,orange,6553367.7607,,,,,,,,,,,,,,,,,,,
07/07/17,O11,720,deep,orange,5033178.8040,,,,,,,,,,,,,,,,,,,
07/07/17,O11,101,shallow,orange,14860603.7901,,,,,,,,,,,,,,,,,,,
07/07/17,O11,101.1,shade,orange,6979484.2824,,,,,,,,,,,,,,,,,,,
07/07/17,O12,194,control,orange,22777228.0440,,,,,,,,,,,,,,,,,,,
07/07/17,O12,162,deep,orange,8104417.0254,,,,,,,,,,,,,,,,,,,
07/07/17,O12,164,shallow,orange,6963397.0692,,,,,,,,,,,,,,,,,,,
07/07/17,O12,215,shade,orange,9148954.5476,,,,,,,,,,,,,,,,,,,
07/07/17,O13,14,control,orange,35996091.5895,,,,,,,,,,,,,,,,,,,
07/07/17,O13,196,deep,orange,17375655.6196,,,,,,,,,,,,,,,,,,,
07/07/17,O13,154,shallow,orange,13578635.9047,,,,,,,,,,,,,,,,,,,
07/07/17,O13,202,shade,orange,22122509.9918,,,,,,,,,,,,,,,,,,,
07/28/17,B1,39,control,red,1824928.6871,,,,,,,,,,,,,,,,,,,
07/28/17,B1,23,deep,red,3944226.3851,,,,,,,,,,,,,,,,,,,
07/28/17,B1,174,shallow,red,1780540.2275,,,,,,,,,,,,,,,,,,,
07/28/17,B1,144,shade,red,4582013.9588,,,,,,,,,,,,,,,,,,,
07/28/17,B2,165,control,red,513042.0694,,,,,,,,,,,,,,,,,,,
07/28/17,B2,456,deep,red,3182753.7185,,,,,,,,,,,,,,,,,,,
07/28/17,B2,170,shallow,red,1339466.0562,,,,,,,,,,,,,,,,,,,
07/28/17,B2,183,shade,red,4898359.0497,,,,,,,,,,,,,,,,,,,
07/28/17,B3,182,control,red,2195465.8681,,,,,,,,,,,,,,,,,,,
07/28/17,B3,43,deep,red,9283621.3598,,,,,,,,,,,,,,,,,,,
07/28/17,B3,26,shallow,red,1373864.0180,,,,,,,,,,,,,,,,,,,
07/28/17,B3,7,shade,red,2234515.2222,,,,,,,,,,,,,,,,,,,
07/28/17,B4,1,control,red,3556129.9552,,,,,,,,,,,,,,,,,,,
07/28/17,B4,114,deep,red,4480216.9204,,,,,,,,,,,,,,,,,,,
07/28/17,B4,19,shallow,red,993678.3635,,,,,,,,,,,,,,,,,,,
07/28/17,B4,2,shade,red,3205994.5812,,,,,,,,,,,,,,,,,,,
07/28/17,B5,8,control,red,5725976.2491,,,,,,,,,,,,,,,,,,,
07/28/17,B5,176,deep,red,2881127.5780,,,,,,,,,,,,,,,,,,,
07/28/17,B5,198,shallow,red,1022119.7190,,,,,,,,,,,,,,,,,,,
07/28/17,B5,158,shade,red,6698335.9161,,,,,,,,,,,,,,,,,,,
07/28/17,B6,13,control,red,1384482.4007,,,,,,,,,,,,,,,,,,,
07/28/17,B6,200,deep,red,2528464.9519,,,,,,,,,,,,,,,,,,,
07/28/17,B6,166,shallow,red,667102.1361,,,,,,,,,,,,,,,,,,,
07/28/17,B6,65,shade,red,3290185.0778,,,,,,,,,,,,,,,,,,,
07/28/17,O7,57,control,orange,2730437.2824,,,,,,,,,,,,,,,,,,,
07/28/17,O7,103,deep,orange,6127975.6532,,,,,,,,,,,,,,,,,,,
07/28/17,O7,20,shallow,orange,298486.1723,,,,,,,,,,,,,,,,,,,
07/28/17,O7,290,shade,orange,2080208.8792,,,,,,,,,,,,,,,,,,,
07/28/17,O8,680,control,orange,5091846.1855,,,,,,,,,,,,,,,,,,,
07/28/17,O8,10,deep,orange,20232340.5582,,,,,,,,,,,,,,,,,,,
07/28/17,O8,163,shallow,orange,3290278.0375,,,,,,,,,,,,,,,,,,,
07/28/17,O8,58,shade,orange,12635488.9782,,,,,,,,,,,,,,,,,,,
07/28/17,O9,16,control,orange,1608419.7455,,,,,,,,,,,,,,,,,,,
