timepoint,colony_id,frag_id,treatment,colormorph,protein_density
06/23/17,O8,58,Shade,Orange,246.046
06/23/17,O9,16,Control,Orange,358.54335
06/23/17,O9,16,Control,Orange,374.1393
06/23/17,O9,16,Control,Orange,364.49325
06/23/17,O9,95,Deep,Orange,187.483725
06/23/17,O9,95,Deep,Orange,362.284575
06/23/17,O9,95,Deep,Orange,333.436575
06/23/17,O9,281,Shallow,Orange,389.6451
06/23/17,O9,281,Shallow,Orange,405.286125
06/23/17,O9,281,Shallow,Orange,462.1257
06/23/17,O9,53,Shade,Orange,464.2893
06/23/17,O9,53,Shade,Orange,452.705025
06/23/17,O9,53,Shade,Orange,358.9941
06/23/17,O10,855,Control,Orange,586.08195
06/23/17,O10,855,Control,Orange,681.145125
06/23/17,O10,855,Control,Orange,612.6762
06/23/17,O10,153,Deep,Orange,527.48445
06/23/17,O10,153,Deep,Orange,521.17395
06/23/17,O10,153,Deep,Orange,451.1274
06/23/17,O10,136,Shallow,Orange,551.329125
06/23/17,O10,136,Shallow,Orange,484.21245
06/23/17,O10,136,Shallow,Orange,536.454375
06/23/17,O10,287,Shade,Orange,471.41115
06/23/17,O10,287,Shade,Orange,463.342725
06/23/17,O10,287,Shade,Orange,451.6683
06/23/17,O11,93,Control,Orange,364.3915
06/23/17,O11,93,Control,Orange,394.9675
06/23/17,O11,93,Control,Orange,353.1985
06/23/17,O11,720,Deep,Orange,319.5285
06/23/17,O11,720,Deep,Orange,320.848
06/23/17,O11,720,Deep,Orange,331.131
06/23/17,O11,101,Shallow,Orange,285.4945
06/23/17,O11,101,Shallow,Orange,300.6915
06/23/17,O11,101,Shallow,Orange,303.194
06/23/17,O11,101.1,Shade,Orange,279.989
06/23/17,O11,101.1,Shade,Orange,258.331
06/23/17,O11,101.1,Shade,Orange,283.3105
06/23/17,O12,194,Control,Orange,353.449875
06/23/17,O12,194,Control,Orange,409.8387
06/23/17,O12,194,Control,Orange,314.054325
06/23/17,O12,162,Deep,Orange,429.806925
06/23/17,O12,162,Deep,Orange,463.793475
06/23/17,O12,162,Deep,Orange,408.9372
06/23/17,O12,164,Shallow,Orange,317.660325
06/23/17,O12,164,Shallow,Orange,348.44655
06/23/17,O12,164,Shallow,Orange,425.25435
06/23/17,O12,215,Shade,Orange,477.6315
06/23/17,O12,215,Shade,Orange,451.6683
06/23/17,O12,215,Shade,Orange,559.803225
06/23/17,O13,14,Control,Orange,259.816647
06/23/17,O13,14,Control,Orange,230.193363
06/23/17,O13,14,Control,Orange,251.320629
06/23/17,O13,196,Deep,Orange,259.064787
06/23/17,O13,196,Deep,Orange,273.124569
06/23/17,O13,196,Deep,Orange,282.259668
06/23/17,O13,154,Shallow,Orange,248.501154
06/23/17,O13,154,Shallow,Orange,359.174946
06/23/17,O13,154,Shallow,Orange,335.228205
06/23/17,O13,202,Shade,Orange,310.642383
06/23/17,O13,202,Shade,Orange,332.258358
06/23/17,O13,202,Shade,Orange,315.567066
07/07/17,B1,39,Control,Red,233.275989
07/07/17,B1,39,Control,Red,227.712225
07/07/17,B1,39,Control,Red,228.501678
07/07/17,B1,23,Deep,Red,243.388506
07/07/17,B1,23,Deep,Red,249.591351
07/07/17,B1,23,Deep,Red,255.418266
07/07/17,B1,174,Shallow,Red,69.520881
